target.priority,altitude..hundreds.of.feet.
1,44
1,60
1,35
1,70
1,40
1,83
2,245
2,245
2,245
1,240
1,240
1,240
1,234
1,234
1,234
1,230
1,230
1,230
1,220
1,220
1,220
2,220
2,220
1,220
1,220
1,220
1,213
1,213
1,213
1,210
1,210
1,210
1,210
1,210
1,210
1,209
1,209
1,209
1,200
1,200
1,200
1,200
1,200
1,200
1,198
1,198
1,198
2,186
2,186
2,186
1,120
1,120
1,100
1,100
1,139
1,139
1,139
1,95
1,95
1,95
1,95
1,95
1,95
1,95
1,95
1,95
1,75
1,75
1,70
1,70
1,70
1,70
1,70
1,70
1,139
1,100
1,100
1,90
1,90
1,85
1,85
1,139
1,139
1,8
1,10
2,130
1,120
1,15
1,180
1,139
1,139
1,80
1,8
1,8
1,21
1,120
1,125
1,120
1,1
1,1
1,85
1,137
1,141
1,105
1,1
1,140
1,18
1,1
1,110
1,1
1,139
1,190
1,193
3,170
1,185
1,190
1,27
1,25
2,105
1,95
1,110
1,100
1,100
1,2
1,20
1,25
1,110
1,30
1,20
1,20
1,20
1,30
1,3
1,2
1,139
1,139
3,200
1,70
1,70
1,15
1,8
1,8
1,8
1,4
1,139
2,160
1,70
1,15
3,135
4,220
4,218
4,215
